,air_area_name,encode_air_area_name
33,Tōkyō-to Chiyoda-ku Kudanminami,33
34,Tōkyō-to Chūō-ku Ginza,34
35,Tōkyō-to Chūō-ku Tsukiji,35
36,Tōkyō-to Itabashi-ku Itabashi,36
37,Tōkyō-to Katsushika-ku Tateishi,37
38,Tōkyō-to Kita-ku Ōjihonchō,38
39,Tōkyō-to Koganei-shi Honchō,39
40,Tōkyō-to Kōtō-ku Kameido,40
41,Tōkyō-to Kōtō-ku Tōyō,41
42,Tōkyō-to Machida-shi Morino,42
43,Tōkyō-to Meguro-ku Kamimeguro,43
44,Tōkyō-to Minato-ku Akasaka,44
45,Tōkyō-to Minato-ku Roppongi,45
46,Tōkyō-to Minato-ku Shibakōen,46
47,Tōkyō-to Nakano-ku Nakano,47
48,Tōkyō-to Nerima-ku Toyotamakita,48
49,Tōkyō-to Setagaya-ku Okusawa,49
50,Tōkyō-to Setagaya-ku Sangenjaya,50
51,Tōkyō-to Setagaya-ku Setagaya,51
52,Tōkyō-to Shibuya-ku Dōgenzaka,52
53,Tōkyō-to Shibuya-ku Jingūmae,53
54,Tōkyō-to Shibuya-ku Shibuya,54
55,Tōkyō-to Shinagawa-ku Higashigotanda,55
56,Tōkyō-to Shinagawa-ku Hiromachi,56
57,Tōkyō-to Shinjuku-ku Kabukichō,57
58,Tōkyō-to Shinjuku-ku Nishishinjuku,58
59,Tōkyō-to Suginami-ku Asagayaminami,59
60,Tōkyō-to Tachikawa-shi Izumichō,60
61,Tōkyō-to Taitō-ku Higashiueno,61
62,Tōkyō-to Taitō-ku Kuramae,62
63,Tōkyō-to Toshima-ku Higashiikebukuro,63
64,Tōkyō-to Toshima-ku Mejiro,64
65,Tōkyō-to Toshima-ku Minamiikebukuro,65
66,Tōkyō-to Toshima-ku Nishiikebukuro,66
67,Tōkyō-to Ōta-ku Kamata,67
68,Tōkyō-to Ōta-ku Kamiikedai,68
69,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
70,Ōsaka-fu Neyagawa-shi Honmachi,70
71,Ōsaka-fu Sakai-shi Minamikawaramachi,71
72,Ōsaka-fu Ōsaka-shi Fuminosato,72
73,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
74,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
75,Ōsaka-fu Ōsaka-shi Nakanochō,75
76,Ōsaka-fu Ōsaka-shi Shinmachi,76
77,Ōsaka-fu Ōsaka-shi Ōgimachi,77
78,Fukuoka-ken Fukuoka-shi Daimyō,0
79,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
80,Fukuoka-ken Fukuoka-shi Momochi,2
81,Fukuoka-ken Fukuoka-shi Shiobaru,3
82,Fukuoka-ken Fukuoka-shi Takatori,4
83,Fukuoka-ken Fukuoka-shi Torikai,5
84,Fukuoka-ken Itoshima-shi Maebarunishi,6
85,Fukuoka-ken Kitakyūshū-shi None,7
86,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
87,Fukuoka-ken Kurume-shi Jōnanmachi,9
88,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
89,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
90,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
91,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
92,Hokkaidō Asahikawa-shi 6 Jōdōri,15
93,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
94,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
95,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
96,Hyōgo-ken Kōbe-shi Kumoidōri,20
97,Hyōgo-ken Kōbe-shi Motomachidōri,21
98,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
99,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
100,Hyōgo-ken Takarazuka-shi Tōyōchō,24
101,Miyagi-ken Sendai-shi Kamisugi,25
102,Niigata-ken Nagaoka-shi Ōtedōri,26
103,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
104,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
105,Shizuoka-ken Shizuoka-shi Ōtemachi,30
106,Tōkyō-to Bunkyō-ku Kasuga,31
107,Tōkyō-to Chiyoda-ku Kudanminami,33
108,Tōkyō-to Chūō-ku Ginza,34
109,Tōkyō-to Chūō-ku Tsukiji,35
110,Tōkyō-to Itabashi-ku Itabashi,36
111,Tōkyō-to Katsushika-ku Tateishi,37
112,Tōkyō-to Koganei-shi Honchō,39
113,Tōkyō-to Kōtō-ku Kameido,40
114,Tōkyō-to Kōtō-ku Tōyō,41
115,Tōkyō-to Machida-shi Morino,42
116,Tōkyō-to Meguro-ku Kamimeguro,43
117,Tōkyō-to Minato-ku Akasaka,44
118,Tōkyō-to Minato-ku Roppongi,45
119,Tōkyō-to Minato-ku Shibakōen,46
120,Tōkyō-to Nakano-ku Nakano,47
121,Tōkyō-to Nerima-ku Toyotamakita,48
122,Tōkyō-to Setagaya-ku Okusawa,49
123,Tōkyō-to Setagaya-ku Sangenjaya,50
124,Tōkyō-to Setagaya-ku Setagaya,51
125,Tōkyō-to Shibuya-ku Dōgenzaka,52
126,Tōkyō-to Shibuya-ku Jingūmae,53
127,Tōkyō-to Shibuya-ku Shibuya,54
128,Tōkyō-to Shinagawa-ku Hiromachi,56
129,Tōkyō-to Shinjuku-ku Kabukichō,57
130,Tōkyō-to Shinjuku-ku Nishishinjuku,58
131,Tōkyō-to Suginami-ku Asagayaminami,59
132,Tōkyō-to Taitō-ku Higashiueno,61
133,Tōkyō-to Taitō-ku Kuramae,62
134,Tōkyō-to Toshima-ku Higashiikebukuro,63
135,Tōkyō-to Toshima-ku Minamiikebukuro,65
136,Tōkyō-to Toshima-ku Nishiikebukuro,66
137,Tōkyō-to Ōta-ku Kamata,67
138,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
139,Ōsaka-fu Neyagawa-shi Honmachi,70
140,Ōsaka-fu Sakai-shi Minamikawaramachi,71
141,Ōsaka-fu Ōsaka-shi Fuminosato,72
142,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
143,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
144,Ōsaka-fu Ōsaka-shi Nakanochō,75
145,Ōsaka-fu Ōsaka-shi Shinmachi,76
146,Ōsaka-fu Ōsaka-shi Ōgimachi,77
147,Fukuoka-ken Fukuoka-shi Daimyō,0
148,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
149,Fukuoka-ken Fukuoka-shi Momochi,2
150,Fukuoka-ken Fukuoka-shi Shiobaru,3
151,Fukuoka-ken Fukuoka-shi Takatori,4
152,Fukuoka-ken Fukuoka-shi Torikai,5
153,Fukuoka-ken Itoshima-shi Maebarunishi,6
154,Fukuoka-ken Kitakyūshū-shi None,7
155,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
156,Fukuoka-ken Kurume-shi Jōnanmachi,9
157,Fukuoka-ken Yame-shi Motomachi,10
158,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
159,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
160,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
161,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
162,Hokkaidō Asahikawa-shi 6 Jōdōri,15
163,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
164,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
165,Hyōgo-ken Himeji-shi Yasuda,18
166,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
167,Hyōgo-ken Kōbe-shi Kumoidōri,20
168,Hyōgo-ken Kōbe-shi Motomachidōri,21
169,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
170,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
171,Hyōgo-ken Takarazuka-shi Tōyōchō,24
172,Miyagi-ken Sendai-shi Kamisugi,25
173,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
174,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
175,Shizuoka-ken Numazu-shi Miyukichō,29
176,Tōkyō-to Bunkyō-ku Kasuga,31
177,Tōkyō-to Bunkyō-ku Sendagi,32
178,Tōkyō-to Chiyoda-ku Kudanminami,33
179,Tōkyō-to Chūō-ku Ginza,34
180,Tōkyō-to Chūō-ku Tsukiji,35
181,Tōkyō-to Itabashi-ku Itabashi,36
182,Tōkyō-to Katsushika-ku Tateishi,37
183,Tōkyō-to Kita-ku Ōjihonchō,38
184,Tōkyō-to Koganei-shi Honchō,39
185,Tōkyō-to Kōtō-ku Kameido,40
186,Tōkyō-to Kōtō-ku Tōyō,41
187,Tōkyō-to Machida-shi Morino,42
188,Tōkyō-to Meguro-ku Kamimeguro,43
189,Tōkyō-to Minato-ku Akasaka,44
190,Tōkyō-to Minato-ku Roppongi,45
191,Tōkyō-to Minato-ku Shibakōen,46
192,Tōkyō-to Nakano-ku Nakano,47
193,Tōkyō-to Nerima-ku Toyotamakita,48
194,Tōkyō-to Setagaya-ku Okusawa,49
195,Tōkyō-to Setagaya-ku Sangenjaya,50
196,Tōkyō-to Setagaya-ku Setagaya,51
197,Tōkyō-to Shibuya-ku Dōgenzaka,52
198,Tōkyō-to Shibuya-ku Jingūmae,53
199,Tōkyō-to Shibuya-ku Shibuya,54
200,Tōkyō-to Shinagawa-ku Higashigotanda,55
201,Tōkyō-to Shinagawa-ku Hiromachi,56
202,Tōkyō-to Shinjuku-ku Kabukichō,57
203,Tōkyō-to Shinjuku-ku Nishishinjuku,58
204,Tōkyō-to Suginami-ku Asagayaminami,59
205,Tōkyō-to Tachikawa-shi Izumichō,60
206,Tōkyō-to Taitō-ku Higashiueno,61
207,Tōkyō-to Taitō-ku Kuramae,62
208,Tōkyō-to Toshima-ku Higashiikebukuro,63
209,Tōkyō-to Toshima-ku Mejiro,64
210,Tōkyō-to Toshima-ku Minamiikebukuro,65
211,Tōkyō-to Toshima-ku Nishiikebukuro,66
212,Tōkyō-to Ōta-ku Kamata,67
213,Tōkyō-to Ōta-ku Kamiikedai,68
214,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
215,Ōsaka-fu Neyagawa-shi Honmachi,70
216,Ōsaka-fu Sakai-shi Minamikawaramachi,71
217,Ōsaka-fu Ōsaka-shi Fuminosato,72
218,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
219,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
220,Ōsaka-fu Ōsaka-shi Nakanochō,75
221,Ōsaka-fu Ōsaka-shi Shinmachi,76
222,Ōsaka-fu Ōsaka-shi Ōgimachi,77
223,Fukuoka-ken Fukuoka-shi Daimyō,0
224,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
225,Fukuoka-ken Fukuoka-shi Momochi,2
226,Fukuoka-ken Fukuoka-shi Shiobaru,3
227,Fukuoka-ken Fukuoka-shi Takatori,4
228,Fukuoka-ken Fukuoka-shi Torikai,5
229,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
230,Fukuoka-ken Kurume-shi Jōnanmachi,9
231,Fukuoka-ken Yame-shi Motomachi,10
232,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
233,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
234,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
235,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
236,Hokkaidō Asahikawa-shi 6 Jōdōri,15
237,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
238,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
239,Hyōgo-ken Himeji-shi Yasuda,18
240,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
241,Hyōgo-ken Kōbe-shi Kumoidōri,20
242,Hyōgo-ken Kōbe-shi Motomachidōri,21
243,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
244,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
245,Hyōgo-ken Takarazuka-shi Tōyōchō,24
246,Miyagi-ken Sendai-shi Kamisugi,25
247,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
248,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
249,Shizuoka-ken Numazu-shi Miyukichō,29
250,Shizuoka-ken Shizuoka-shi Ōtemachi,30
251,Tōkyō-to Bunkyō-ku Kasuga,31
252,Tōkyō-to Bunkyō-ku Sendagi,32
253,Tōkyō-to Chiyoda-ku Kudanminami,33
254,Tōkyō-to Chūō-ku Ginza,34
255,Tōkyō-to Chūō-ku Tsukiji,35
256,Tōkyō-to Itabashi-ku Itabashi,36
257,Tōkyō-to Katsushika-ku Tateishi,37
258,Tōkyō-to Kita-ku Ōjihonchō,38
259,Tōkyō-to Koganei-shi Honchō,39
260,Tōkyō-to Kōtō-ku Kameido,40
261,Tōkyō-to Kōtō-ku Tōyō,41
262,Tōkyō-to Machida-shi Morino,42
263,Tōkyō-to Meguro-ku Kamimeguro,43
264,Tōkyō-to Minato-ku Shibakōen,46
265,Tōkyō-to Nakano-ku Nakano,47
266,Tōkyō-to Nerima-ku Toyotamakita,48
267,Tōkyō-to Setagaya-ku Okusawa,49
268,Tōkyō-to Setagaya-ku Setagaya,51
269,Tōkyō-to Shibuya-ku Dōgenzaka,52
270,Tōkyō-to Shibuya-ku Jingūmae,53
271,Tōkyō-to Shibuya-ku Shibuya,54
272,Tōkyō-to Shinagawa-ku Higashigotanda,55
273,Tōkyō-to Shinjuku-ku Kabukichō,57
274,Tōkyō-to Shinjuku-ku Nishishinjuku,58
275,Tōkyō-to Suginami-ku Asagayaminami,59
276,Tōkyō-to Tachikawa-shi Izumichō,60
277,Tōkyō-to Taitō-ku Higashiueno,61
278,Tōkyō-to Toshima-ku Higashiikebukuro,63
279,Tōkyō-to Toshima-ku Mejiro,64
280,Tōkyō-to Toshima-ku Minamiikebukuro,65
281,Tōkyō-to Toshima-ku Nishiikebukuro,66
282,Tōkyō-to Ōta-ku Kamata,67
283,Tōkyō-to Ōta-ku Kamiikedai,68
284,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
285,Ōsaka-fu Neyagawa-shi Honmachi,70
286,Ōsaka-fu Sakai-shi Minamikawaramachi,71
287,Ōsaka-fu Ōsaka-shi Fuminosato,72
288,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
289,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
290,Ōsaka-fu Ōsaka-shi Nakanochō,75
291,Ōsaka-fu Ōsaka-shi Shinmachi,76
292,Ōsaka-fu Ōsaka-shi Ōgimachi,77
293,Fukuoka-ken Fukuoka-shi Daimyō,0
294,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
295,Fukuoka-ken Fukuoka-shi Momochi,2
296,Fukuoka-ken Fukuoka-shi Shiobaru,3
297,Fukuoka-ken Fukuoka-shi Takatori,4
298,Fukuoka-ken Fukuoka-shi Torikai,5
299,Fukuoka-ken Kitakyūshū-shi None,7
300,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
301,Fukuoka-ken Kurume-shi Jōnanmachi,9
302,Fukuoka-ken Yame-shi Motomachi,10
303,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
304,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
305,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
306,Hokkaidō Asahikawa-shi 6 Jōdōri,15
307,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
308,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
309,Hyōgo-ken Himeji-shi Yasuda,18
310,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
311,Hyōgo-ken Kōbe-shi Kumoidōri,20
312,Hyōgo-ken Kōbe-shi Motomachidōri,21
313,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
314,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
315,Hyōgo-ken Takarazuka-shi Tōyōchō,24
316,Miyagi-ken Sendai-shi Kamisugi,25
317,Niigata-ken Nagaoka-shi Ōtedōri,26
318,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
319,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
320,Shizuoka-ken Numazu-shi Miyukichō,29
321,Shizuoka-ken Shizuoka-shi Ōtemachi,30
322,Tōkyō-to Bunkyō-ku Kasuga,31
323,Tōkyō-to Bunkyō-ku Sendagi,32
324,Tōkyō-to Chiyoda-ku Kudanminami,33
325,Tōkyō-to Chūō-ku Ginza,34
326,Tōkyō-to Chūō-ku Tsukiji,35
327,Tōkyō-to Itabashi-ku Itabashi,36
328,Tōkyō-to Katsushika-ku Tateishi,37
329,Tōkyō-to Kita-ku Ōjihonchō,38
330,Tōkyō-to Koganei-shi Honchō,39
331,Tōkyō-to Kōtō-ku Kameido,40
332,Tōkyō-to Kōtō-ku Tōyō,41
333,Tōkyō-to Machida-shi Morino,42
334,Tōkyō-to Meguro-ku Kamimeguro,43
335,Tōkyō-to Minato-ku Akasaka,44
336,Tōkyō-to Minato-ku Roppongi,45
337,Tōkyō-to Minato-ku Shibakōen,46
338,Tōkyō-to Nakano-ku Nakano,47
339,Tōkyō-to Nerima-ku Toyotamakita,48
340,Tōkyō-to Setagaya-ku Okusawa,49
341,Tōkyō-to Setagaya-ku Sangenjaya,50
342,Tōkyō-to Setagaya-ku Setagaya,51
343,Tōkyō-to Shibuya-ku Dōgenzaka,52
344,Tōkyō-to Shibuya-ku Jingūmae,53
345,Tōkyō-to Shibuya-ku Shibuya,54
346,Tōkyō-to Shinagawa-ku Higashigotanda,55
347,Tōkyō-to Shinagawa-ku Hiromachi,56
348,Tōkyō-to Shinjuku-ku Kabukichō,57
349,Tōkyō-to Shinjuku-ku Nishishinjuku,58
350,Tōkyō-to Suginami-ku Asagayaminami,59
351,Tōkyō-to Tachikawa-shi Izumichō,60
352,Tōkyō-to Taitō-ku Higashiueno,61
353,Tōkyō-to Taitō-ku Kuramae,62
354,Tōkyō-to Toshima-ku Higashiikebukuro,63
355,Tōkyō-to Toshima-ku Mejiro,64
356,Tōkyō-to Toshima-ku Minamiikebukuro,65
357,Tōkyō-to Toshima-ku Nishiikebukuro,66
358,Tōkyō-to Ōta-ku Kamata,67
359,Tōkyō-to Ōta-ku Kamiikedai,68
360,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
361,Ōsaka-fu Neyagawa-shi Honmachi,70
362,Ōsaka-fu Sakai-shi Minamikawaramachi,71
363,Ōsaka-fu Ōsaka-shi Fuminosato,72
364,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
365,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
366,Ōsaka-fu Ōsaka-shi Nakanochō,75
367,Ōsaka-fu Ōsaka-shi Shinmachi,76
368,Ōsaka-fu Ōsaka-shi Ōgimachi,77
369,Fukuoka-ken Fukuoka-shi Daimyō,0
370,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
371,Fukuoka-ken Fukuoka-shi Momochi,2
372,Fukuoka-ken Fukuoka-shi Shiobaru,3
373,Fukuoka-ken Fukuoka-shi Torikai,5
374,Fukuoka-ken Itoshima-shi Maebarunishi,6
375,Fukuoka-ken Kitakyūshū-shi None,7
376,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
377,Fukuoka-ken Kurume-shi Jōnanmachi,9
378,Fukuoka-ken Yame-shi Motomachi,10
379,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
380,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
381,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
382,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
383,Hokkaidō Asahikawa-shi 6 Jōdōri,15
384,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
385,Hyōgo-ken Himeji-shi Yasuda,18
386,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
387,Hyōgo-ken Kōbe-shi Kumoidōri,20
388,Hyōgo-ken Kōbe-shi Motomachidōri,21
389,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
390,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
391,Hyōgo-ken Takarazuka-shi Tōyōchō,24
392,Miyagi-ken Sendai-shi Kamisugi,25
393,Niigata-ken Nagaoka-shi Ōtedōri,26
394,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
395,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
396,Shizuoka-ken Numazu-shi Miyukichō,29
397,Tōkyō-to Bunkyō-ku Kasuga,31
398,Tōkyō-to Bunkyō-ku Sendagi,32
399,Tōkyō-to Chiyoda-ku Kudanminami,33
400,Tōkyō-to Chūō-ku Ginza,34
401,Tōkyō-to Chūō-ku Tsukiji,35
402,Tōkyō-to Itabashi-ku Itabashi,36
403,Tōkyō-to Katsushika-ku Tateishi,37
404,Tōkyō-to Kita-ku Ōjihonchō,38
405,Tōkyō-to Koganei-shi Honchō,39
406,Tōkyō-to Kōtō-ku Kameido,40
407,Tōkyō-to Kōtō-ku Tōyō,41
408,Tōkyō-to Machida-shi Morino,42
409,Tōkyō-to Meguro-ku Kamimeguro,43
410,Tōkyō-to Minato-ku Akasaka,44
411,Tōkyō-to Minato-ku Roppongi,45
412,Tōkyō-to Minato-ku Shibakōen,46
413,Tōkyō-to Nakano-ku Nakano,47
414,Tōkyō-to Nerima-ku Toyotamakita,48
415,Tōkyō-to Setagaya-ku Okusawa,49
416,Tōkyō-to Setagaya-ku Sangenjaya,50
417,Tōkyō-to Setagaya-ku Setagaya,51
418,Tōkyō-to Shibuya-ku Dōgenzaka,52
419,Tōkyō-to Shibuya-ku Jingūmae,53
420,Tōkyō-to Shibuya-ku Shibuya,54
421,Tōkyō-to Shinagawa-ku Higashigotanda,55
422,Tōkyō-to Shinagawa-ku Hiromachi,56
423,Tōkyō-to Shinjuku-ku Kabukichō,57
424,Tōkyō-to Shinjuku-ku Nishishinjuku,58
425,Tōkyō-to Suginami-ku Asagayaminami,59
426,Tōkyō-to Tachikawa-shi Izumichō,60
427,Tōkyō-to Taitō-ku Higashiueno,61
428,Tōkyō-to Taitō-ku Kuramae,62
429,Tōkyō-to Toshima-ku Higashiikebukuro,63
430,Tōkyō-to Toshima-ku Mejiro,64
431,Tōkyō-to Toshima-ku Minamiikebukuro,65
432,Tōkyō-to Toshima-ku Nishiikebukuro,66
433,Tōkyō-to Ōta-ku Kamata,67
434,Tōkyō-to Ōta-ku Kamiikedai,68
435,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
436,Ōsaka-fu Neyagawa-shi Honmachi,70
437,Ōsaka-fu Sakai-shi Minamikawaramachi,71
438,Ōsaka-fu Ōsaka-shi Fuminosato,72
439,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
440,Ōsaka-fu Ōsaka-shi Nakanochō,75
441,Ōsaka-fu Ōsaka-shi Shinmachi,76
442,Ōsaka-fu Ōsaka-shi Ōgimachi,77
443,Fukuoka-ken Fukuoka-shi Daimyō,0
444,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
445,Fukuoka-ken Fukuoka-shi Momochi,2
446,Fukuoka-ken Fukuoka-shi Shiobaru,3
447,Fukuoka-ken Fukuoka-shi Takatori,4
448,Fukuoka-ken Fukuoka-shi Torikai,5
449,Fukuoka-ken Itoshima-shi Maebarunishi,6
450,Fukuoka-ken Kitakyūshū-shi None,7
451,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
452,Fukuoka-ken Kurume-shi Jōnanmachi,9
453,Fukuoka-ken Yame-shi Motomachi,10
454,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
455,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
456,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
457,Hokkaidō Asahikawa-shi 6 Jōdōri,15
458,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
459,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
460,Hyōgo-ken Himeji-shi Yasuda,18
461,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
462,Hyōgo-ken Kōbe-shi Kumoidōri,20
463,Hyōgo-ken Kōbe-shi Motomachidōri,21
464,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
465,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
466,Hyōgo-ken Takarazuka-shi Tōyōchō,24
467,Miyagi-ken Sendai-shi Kamisugi,25
468,Niigata-ken Nagaoka-shi Ōtedōri,26
469,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
470,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
471,Shizuoka-ken Numazu-shi Miyukichō,29
472,Shizuoka-ken Shizuoka-shi Ōtemachi,30
473,Tōkyō-to Bunkyō-ku Kasuga,31
474,Tōkyō-to Bunkyō-ku Sendagi,32
475,Tōkyō-to Chiyoda-ku Kudanminami,33
476,Tōkyō-to Chūō-ku Ginza,34
477,Tōkyō-to Chūō-ku Tsukiji,35
478,Tōkyō-to Itabashi-ku Itabashi,36
479,Tōkyō-to Katsushika-ku Tateishi,37
480,Tōkyō-to Kita-ku Ōjihonchō,38
481,Tōkyō-to Koganei-shi Honchō,39
482,Tōkyō-to Kōtō-ku Kameido,40
483,Tōkyō-to Kōtō-ku Tōyō,41
484,Tōkyō-to Machida-shi Morino,42
485,Tōkyō-to Meguro-ku Kamimeguro,43
486,Tōkyō-to Minato-ku Akasaka,44
487,Tōkyō-to Minato-ku Roppongi,45
488,Tōkyō-to Minato-ku Shibakōen,46
489,Tōkyō-to Nakano-ku Nakano,47
490,Tōkyō-to Nerima-ku Toyotamakita,48
491,Tōkyō-to Setagaya-ku Sangenjaya,50
492,Tōkyō-to Setagaya-ku Setagaya,51
493,Tōkyō-to Shibuya-ku Dōgenzaka,52
