,article,ds,holiday_flg,y
1303,Fukuoka-ken Fukuoka-shi Momochi,2016-03-03,0,46
1304,Fukuoka-ken Fukuoka-shi Momochi,2016-03-04,0,85
1305,Fukuoka-ken Fukuoka-shi Momochi,2016-03-05,0,67
1306,Fukuoka-ken Fukuoka-shi Momochi,2016-03-06,0,8
1307,Fukuoka-ken Fukuoka-shi Momochi,2016-03-07,0,81
1308,Fukuoka-ken Fukuoka-shi Momochi,2016-03-08,0,66
1309,Fukuoka-ken Fukuoka-shi Momochi,2016-03-09,0,65
1310,Fukuoka-ken Fukuoka-shi Momochi,2016-03-10,0,87
1311,Fukuoka-ken Fukuoka-shi Momochi,2016-03-11,0,66
1312,Fukuoka-ken Fukuoka-shi Momochi,2016-03-12,0,49
1313,Fukuoka-ken Fukuoka-shi Momochi,2016-03-13,0,15
1314,Fukuoka-ken Fukuoka-shi Momochi,2016-03-14,0,83
1315,Fukuoka-ken Fukuoka-shi Momochi,2016-03-15,0,67
1316,Fukuoka-ken Fukuoka-shi Momochi,2016-03-16,0,77
1317,Fukuoka-ken Fukuoka-shi Momochi,2016-03-17,0,60
1318,Fukuoka-ken Fukuoka-shi Momochi,2016-03-18,0,82
1319,Fukuoka-ken Fukuoka-shi Momochi,2016-03-19,0,59
1320,Fukuoka-ken Fukuoka-shi Momochi,2016-03-20,1,17
1321,Fukuoka-ken Fukuoka-shi Momochi,2016-03-21,1,46
1322,Fukuoka-ken Fukuoka-shi Momochi,2016-03-22,0,82
1323,Fukuoka-ken Fukuoka-shi Momochi,2016-03-23,0,63
1324,Fukuoka-ken Fukuoka-shi Momochi,2016-03-24,0,76
1325,Fukuoka-ken Fukuoka-shi Momochi,2016-03-25,0,78
1326,Fukuoka-ken Fukuoka-shi Momochi,2016-03-26,0,52
1327,Fukuoka-ken Fukuoka-shi Momochi,2016-03-27,0,11
1328,Fukuoka-ken Fukuoka-shi Momochi,2016-03-28,0,60
1329,Fukuoka-ken Fukuoka-shi Momochi,2016-03-29,0,77
1330,Fukuoka-ken Fukuoka-shi Momochi,2016-03-30,0,76
1331,Fukuoka-ken Fukuoka-shi Momochi,2016-03-31,0,69
1332,Fukuoka-ken Fukuoka-shi Momochi,2016-04-01,0,81
1333,Fukuoka-ken Fukuoka-shi Momochi,2016-04-02,0,49
1334,Fukuoka-ken Fukuoka-shi Momochi,2016-04-03,0,19
1335,Fukuoka-ken Fukuoka-shi Momochi,2016-04-04,0,45
1336,Fukuoka-ken Fukuoka-shi Momochi,2016-04-05,0,82
1337,Fukuoka-ken Fukuoka-shi Momochi,2016-04-06,0,70
1338,Fukuoka-ken Fukuoka-shi Momochi,2016-04-07,0,62
1339,Fukuoka-ken Fukuoka-shi Momochi,2016-04-08,0,66
1340,Fukuoka-ken Fukuoka-shi Momochi,2016-04-09,0,73
1341,Fukuoka-ken Fukuoka-shi Momochi,2016-04-10,0,12
1342,Fukuoka-ken Fukuoka-shi Momochi,2016-04-11,0,70
1343,Fukuoka-ken Fukuoka-shi Momochi,2016-04-12,0,59
1344,Fukuoka-ken Fukuoka-shi Momochi,2016-04-13,0,64
1345,Fukuoka-ken Fukuoka-shi Momochi,2016-04-14,0,48
1346,Fukuoka-ken Fukuoka-shi Momochi,2016-04-15,0,85
1347,Fukuoka-ken Fukuoka-shi Momochi,2016-04-16,0,66
1348,Fukuoka-ken Fukuoka-shi Momochi,2016-04-17,0,11
1349,Fukuoka-ken Fukuoka-shi Momochi,2016-04-18,0,56
1350,Fukuoka-ken Fukuoka-shi Momochi,2016-04-19,0,71
1351,Fukuoka-ken Fukuoka-shi Momochi,2016-04-20,0,79
1352,Fukuoka-ken Fukuoka-shi Momochi,2016-04-21,0,57
1353,Fukuoka-ken Fukuoka-shi Momochi,2016-04-22,0,70
1354,Fukuoka-ken Fukuoka-shi Momochi,2016-04-23,0,53
1355,Fukuoka-ken Fukuoka-shi Momochi,2016-04-24,0,18
1356,Fukuoka-ken Fukuoka-shi Momochi,2016-04-25,0,64
1357,Fukuoka-ken Fukuoka-shi Momochi,2016-04-26,0,71
1358,Fukuoka-ken Fukuoka-shi Momochi,2016-04-27,0,63
1359,Fukuoka-ken Fukuoka-shi Momochi,2016-04-28,0,74
1360,Fukuoka-ken Fukuoka-shi Momochi,2016-04-29,1,62
1361,Fukuoka-ken Fukuoka-shi Momochi,2016-04-30,0,45
1362,Fukuoka-ken Fukuoka-shi Momochi,2016-05-01,0,9
1363,Fukuoka-ken Fukuoka-shi Momochi,2016-05-02,0,66
1364,Fukuoka-ken Fukuoka-shi Momochi,2016-05-03,1,40
1365,Fukuoka-ken Fukuoka-shi Momochi,2016-05-04,1,55
1366,Fukuoka-ken Fukuoka-shi Momochi,2016-05-05,1,58
1367,Fukuoka-ken Fukuoka-shi Momochi,2016-05-06,0,57
1368,Fukuoka-ken Fukuoka-shi Momochi,2016-05-07,0,70
1369,Fukuoka-ken Fukuoka-shi Momochi,2016-05-08,0,26
1370,Fukuoka-ken Fukuoka-shi Momochi,2016-05-09,0,50
1371,Fukuoka-ken Fukuoka-shi Momochi,2016-05-10,0,71
1372,Fukuoka-ken Fukuoka-shi Momochi,2016-05-11,0,32
1373,Fukuoka-ken Fukuoka-shi Momochi,2016-05-12,0,78
1374,Fukuoka-ken Fukuoka-shi Momochi,2016-05-13,0,50
1375,Fukuoka-ken Fukuoka-shi Momochi,2016-05-14,0,79
1376,Fukuoka-ken Fukuoka-shi Momochi,2016-05-15,0,12
1377,Fukuoka-ken Fukuoka-shi Momochi,2016-05-16,0,46
1378,Fukuoka-ken Fukuoka-shi Momochi,2016-05-17,0,55
1379,Fukuoka-ken Fukuoka-shi Momochi,2016-05-18,0,72
1380,Fukuoka-ken Fukuoka-shi Momochi,2016-05-19,0,58
1381,Fukuoka-ken Fukuoka-shi Momochi,2016-05-20,0,68
1382,Fukuoka-ken Fukuoka-shi Momochi,2016-05-21,0,71
1383,Fukuoka-ken Fukuoka-shi Momochi,2016-05-22,0,13
1384,Fukuoka-ken Fukuoka-shi Momochi,2016-05-23,0,50
1385,Fukuoka-ken Fukuoka-shi Momochi,2016-05-24,0,64
1386,Fukuoka-ken Fukuoka-shi Momochi,2016-05-25,0,81
1387,Fukuoka-ken Fukuoka-shi Momochi,2016-05-26,0,58
1388,Fukuoka-ken Fukuoka-shi Momochi,2016-05-27,0,86
1389,Fukuoka-ken Fukuoka-shi Momochi,2016-05-28,0,54
1390,Fukuoka-ken Fukuoka-shi Momochi,2016-05-29,0,17
1391,Fukuoka-ken Fukuoka-shi Momochi,2016-05-30,0,63
1392,Fukuoka-ken Fukuoka-shi Momochi,2016-05-31,0,68
1393,Fukuoka-ken Fukuoka-shi Momochi,2016-06-01,0,63
1394,Fukuoka-ken Fukuoka-shi Momochi,2016-06-02,0,74
1395,Fukuoka-ken Fukuoka-shi Momochi,2016-06-03,0,90
1396,Fukuoka-ken Fukuoka-shi Momochi,2016-06-04,0,45
1397,Fukuoka-ken Fukuoka-shi Momochi,2016-06-05,0,13
1398,Fukuoka-ken Fukuoka-shi Momochi,2016-06-06,0,56
1399,Fukuoka-ken Fukuoka-shi Momochi,2016-06-07,0,53
1400,Fukuoka-ken Fukuoka-shi Momochi,2016-06-08,0,63
1401,Fukuoka-ken Fukuoka-shi Momochi,2016-06-09,0,67
1402,Fukuoka-ken Fukuoka-shi Momochi,2016-06-10,0,79
1403,Fukuoka-ken Fukuoka-shi Momochi,2016-06-11,0,66
1404,Fukuoka-ken Fukuoka-shi Momochi,2016-06-12,0,8
1405,Fukuoka-ken Fukuoka-shi Momochi,2016-06-13,0,40
1406,Fukuoka-ken Fukuoka-shi Momochi,2016-06-14,0,55
1407,Fukuoka-ken Fukuoka-shi Momochi,2016-06-15,0,53
1408,Fukuoka-ken Fukuoka-shi Momochi,2016-06-16,0,89
1409,Fukuoka-ken Fukuoka-shi Momochi,2016-06-17,0,83
1410,Fukuoka-ken Fukuoka-shi Momochi,2016-06-18,0,70
1411,Fukuoka-ken Fukuoka-shi Momochi,2016-06-19,0,14
1412,Fukuoka-ken Fukuoka-shi Momochi,2016-06-20,0,44
1413,Fukuoka-ken Fukuoka-shi Momochi,2016-06-21,0,60
1414,Fukuoka-ken Fukuoka-shi Momochi,2016-06-22,0,66
1415,Fukuoka-ken Fukuoka-shi Momochi,2016-06-23,0,72
1416,Fukuoka-ken Fukuoka-shi Momochi,2016-06-24,0,78
1417,Fukuoka-ken Fukuoka-shi Momochi,2016-06-25,0,64
1418,Fukuoka-ken Fukuoka-shi Momochi,2016-06-26,0,11
1419,Fukuoka-ken Fukuoka-shi Momochi,2016-06-27,0,58
1420,Fukuoka-ken Fukuoka-shi Momochi,2016-06-28,0,52
1421,Fukuoka-ken Fukuoka-shi Momochi,2016-06-29,0,72
1422,Fukuoka-ken Fukuoka-shi Momochi,2016-06-30,0,96
1423,Fukuoka-ken Fukuoka-shi Momochi,2016-07-01,0,138
1424,Fukuoka-ken Fukuoka-shi Momochi,2016-07-02,0,159
1425,Fukuoka-ken Fukuoka-shi Momochi,2016-07-03,0,81
1426,Fukuoka-ken Fukuoka-shi Momochi,2016-07-04,0,97
1427,Fukuoka-ken Fukuoka-shi Momochi,2016-07-05,0,102
1428,Fukuoka-ken Fukuoka-shi Momochi,2016-07-06,0,104
1429,Fukuoka-ken Fukuoka-shi Momochi,2016-07-07,0,122
1430,Fukuoka-ken Fukuoka-shi Momochi,2016-07-08,0,125
1431,Fukuoka-ken Fukuoka-shi Momochi,2016-07-09,0,130
1432,Fukuoka-ken Fukuoka-shi Momochi,2016-07-10,0,41
1433,Fukuoka-ken Fukuoka-shi Momochi,2016-07-11,0,65
1434,Fukuoka-ken Fukuoka-shi Momochi,2016-07-12,0,99
1435,Fukuoka-ken Fukuoka-shi Momochi,2016-07-13,0,79
1436,Fukuoka-ken Fukuoka-shi Momochi,2016-07-14,0,148
1437,Fukuoka-ken Fukuoka-shi Momochi,2016-07-15,0,106
1438,Fukuoka-ken Fukuoka-shi Momochi,2016-07-16,0,142
1439,Fukuoka-ken Fukuoka-shi Momochi,2016-07-17,0,87
1440,Fukuoka-ken Fukuoka-shi Momochi,2016-07-18,1,93
1441,Fukuoka-ken Fukuoka-shi Momochi,2016-07-19,0,120
1442,Fukuoka-ken Fukuoka-shi Momochi,2016-07-20,0,115
1443,Fukuoka-ken Fukuoka-shi Momochi,2016-07-21,0,90
1444,Fukuoka-ken Fukuoka-shi Momochi,2016-07-22,0,152
1445,Fukuoka-ken Fukuoka-shi Momochi,2016-07-23,0,149
1446,Fukuoka-ken Fukuoka-shi Momochi,2016-07-24,0,75
1447,Fukuoka-ken Fukuoka-shi Momochi,2016-07-25,0,84
1448,Fukuoka-ken Fukuoka-shi Momochi,2016-07-26,0,103
1449,Fukuoka-ken Fukuoka-shi Momochi,2016-07-27,0,135
1450,Fukuoka-ken Fukuoka-shi Momochi,2016-07-28,0,131
1451,Fukuoka-ken Fukuoka-shi Momochi,2016-07-29,0,173
1452,Fukuoka-ken Fukuoka-shi Momochi,2016-07-30,0,110
1453,Fukuoka-ken Fukuoka-shi Momochi,2016-07-31,0,73
1454,Fukuoka-ken Fukuoka-shi Momochi,2016-08-01,0,90
1455,Fukuoka-ken Fukuoka-shi Momochi,2016-08-02,0,106
1456,Fukuoka-ken Fukuoka-shi Momochi,2016-08-03,0,115
1457,Fukuoka-ken Fukuoka-shi Momochi,2016-08-04,0,119
1458,Fukuoka-ken Fukuoka-shi Momochi,2016-08-05,0,138
1459,Fukuoka-ken Fukuoka-shi Momochi,2016-08-06,0,136
1460,Fukuoka-ken Fukuoka-shi Momochi,2016-08-07,0,83
1461,Fukuoka-ken Fukuoka-shi Momochi,2016-08-08,0,117
1462,Fukuoka-ken Fukuoka-shi Momochi,2016-08-09,0,130
1463,Fukuoka-ken Fukuoka-shi Momochi,2016-08-10,0,151
1464,Fukuoka-ken Fukuoka-shi Momochi,2016-08-11,1,119
1465,Fukuoka-ken Fukuoka-shi Momochi,2016-08-12,0,144
1466,Fukuoka-ken Fukuoka-shi Momochi,2016-08-13,1,129
1467,Fukuoka-ken Fukuoka-shi Momochi,2016-08-14,1,79
1468,Fukuoka-ken Fukuoka-shi Momochi,2016-08-15,1,143
1469,Fukuoka-ken Fukuoka-shi Momochi,2016-08-16,0,119
1470,Fukuoka-ken Fukuoka-shi Momochi,2016-08-17,0,117
1471,Fukuoka-ken Fukuoka-shi Momochi,2016-08-18,0,122
1472,Fukuoka-ken Fukuoka-shi Momochi,2016-08-19,0,156
1473,Fukuoka-ken Fukuoka-shi Momochi,2016-08-20,0,162
1474,Fukuoka-ken Fukuoka-shi Momochi,2016-08-21,0,55
1475,Fukuoka-ken Fukuoka-shi Momochi,2016-08-22,0,92
1476,Fukuoka-ken Fukuoka-shi Momochi,2016-08-23,0,101
1477,Fukuoka-ken Fukuoka-shi Momochi,2016-08-24,0,109
1478,Fukuoka-ken Fukuoka-shi Momochi,2016-08-25,0,129
1479,Fukuoka-ken Fukuoka-shi Momochi,2016-08-26,0,162
1480,Fukuoka-ken Fukuoka-shi Momochi,2016-08-27,0,131
1481,Fukuoka-ken Fukuoka-shi Momochi,2016-08-28,0,72
1482,Fukuoka-ken Fukuoka-shi Momochi,2016-08-29,0,95
1483,Fukuoka-ken Fukuoka-shi Momochi,2016-08-30,0,103
1484,Fukuoka-ken Fukuoka-shi Momochi,2016-08-31,0,130
1485,Fukuoka-ken Fukuoka-shi Momochi,2016-09-01,0,76
1486,Fukuoka-ken Fukuoka-shi Momochi,2016-09-02,0,120
1487,Fukuoka-ken Fukuoka-shi Momochi,2016-09-03,0,117
1488,Fukuoka-ken Fukuoka-shi Momochi,2016-09-04,0,49
1489,Fukuoka-ken Fukuoka-shi Momochi,2016-09-05,0,53
1490,Fukuoka-ken Fukuoka-shi Momochi,2016-09-06,0,116
1491,Fukuoka-ken Fukuoka-shi Momochi,2016-09-07,0,96
1492,Fukuoka-ken Fukuoka-shi Momochi,2016-09-08,0,131
1493,Fukuoka-ken Fukuoka-shi Momochi,2016-09-09,0,136
1494,Fukuoka-ken Fukuoka-shi Momochi,2016-09-10,0,138
1495,Fukuoka-ken Fukuoka-shi Momochi,2016-09-11,0,81
1496,Fukuoka-ken Fukuoka-shi Momochi,2016-09-12,0,75
1497,Fukuoka-ken Fukuoka-shi Momochi,2016-09-13,0,93
1498,Fukuoka-ken Fukuoka-shi Momochi,2016-09-14,0,106
1499,Fukuoka-ken Fukuoka-shi Momochi,2016-09-15,0,137
1500,Fukuoka-ken Fukuoka-shi Momochi,2016-09-16,0,102
1501,Fukuoka-ken Fukuoka-shi Momochi,2016-09-17,0,117
1502,Fukuoka-ken Fukuoka-shi Momochi,2016-09-18,0,83
1503,Fukuoka-ken Fukuoka-shi Momochi,2016-09-19,1,72
1504,Fukuoka-ken Fukuoka-shi Momochi,2016-09-20,0,68
1505,Fukuoka-ken Fukuoka-shi Momochi,2016-09-21,0,132
1506,Fukuoka-ken Fukuoka-shi Momochi,2016-09-22,1,116
1507,Fukuoka-ken Fukuoka-shi Momochi,2016-09-23,0,123
1508,Fukuoka-ken Fukuoka-shi Momochi,2016-09-24,0,117
1509,Fukuoka-ken Fukuoka-shi Momochi,2016-09-25,0,55
1510,Fukuoka-ken Fukuoka-shi Momochi,2016-09-26,0,95
1511,Fukuoka-ken Fukuoka-shi Momochi,2016-09-27,0,101
1512,Fukuoka-ken Fukuoka-shi Momochi,2016-09-28,0,74
1513,Fukuoka-ken Fukuoka-shi Momochi,2016-09-29,0,60
1514,Fukuoka-ken Fukuoka-shi Momochi,2016-09-30,0,129
1515,Fukuoka-ken Fukuoka-shi Momochi,2016-10-01,0,124
1516,Fukuoka-ken Fukuoka-shi Momochi,2016-10-02,0,59
1517,Fukuoka-ken Fukuoka-shi Momochi,2016-10-03,0,76
1518,Fukuoka-ken Fukuoka-shi Momochi,2016-10-04,0,86
1519,Fukuoka-ken Fukuoka-shi Momochi,2016-10-05,0,72
1520,Fukuoka-ken Fukuoka-shi Momochi,2016-10-06,0,74
1521,Fukuoka-ken Fukuoka-shi Momochi,2016-10-07,0,136
1522,Fukuoka-ken Fukuoka-shi Momochi,2016-10-08,0,132
1523,Fukuoka-ken Fukuoka-shi Momochi,2016-10-09,0,98
1524,Fukuoka-ken Fukuoka-shi Momochi,2016-10-10,1,95
1525,Fukuoka-ken Fukuoka-shi Momochi,2016-10-11,0,81
1526,Fukuoka-ken Fukuoka-shi Momochi,2016-10-12,0,90
1527,Fukuoka-ken Fukuoka-shi Momochi,2016-10-13,0,78
1528,Fukuoka-ken Fukuoka-shi Momochi,2016-10-14,0,124
1529,Fukuoka-ken Fukuoka-shi Momochi,2016-10-15,0,187
1530,Fukuoka-ken Fukuoka-shi Momochi,2016-10-16,0,83
1531,Fukuoka-ken Fukuoka-shi Momochi,2016-10-17,0,117
1532,Fukuoka-ken Fukuoka-shi Momochi,2016-10-18,0,86
1533,Fukuoka-ken Fukuoka-shi Momochi,2016-10-19,0,55
1534,Fukuoka-ken Fukuoka-shi Momochi,2016-10-20,0,126
1535,Fukuoka-ken Fukuoka-shi Momochi,2016-10-21,0,129
1536,Fukuoka-ken Fukuoka-shi Momochi,2016-10-22,0,106
1537,Fukuoka-ken Fukuoka-shi Momochi,2016-10-23,0,69
1538,Fukuoka-ken Fukuoka-shi Momochi,2016-10-24,0,77
1539,Fukuoka-ken Fukuoka-shi Momochi,2016-10-25,0,106
1540,Fukuoka-ken Fukuoka-shi Momochi,2016-10-26,0,87
1541,Fukuoka-ken Fukuoka-shi Momochi,2016-10-27,0,97
1542,Fukuoka-ken Fukuoka-shi Momochi,2016-10-28,0,87
1543,Fukuoka-ken Fukuoka-shi Momochi,2016-10-29,0,114
1544,Fukuoka-ken Fukuoka-shi Momochi,2016-10-30,0,87
1545,Fukuoka-ken Fukuoka-shi Momochi,2016-10-31,0,67
1546,Fukuoka-ken Fukuoka-shi Momochi,2016-11-01,0,111
1547,Fukuoka-ken Fukuoka-shi Momochi,2016-11-02,0,122
1548,Fukuoka-ken Fukuoka-shi Momochi,2016-11-03,1,109
1549,Fukuoka-ken Fukuoka-shi Momochi,2016-11-04,0,132
1550,Fukuoka-ken Fukuoka-shi Momochi,2016-11-05,0,154
1551,Fukuoka-ken Fukuoka-shi Momochi,2016-11-06,0,64
1552,Fukuoka-ken Fukuoka-shi Momochi,2016-11-07,0,69
1553,Fukuoka-ken Fukuoka-shi Momochi,2016-11-08,0,95
1554,Fukuoka-ken Fukuoka-shi Momochi,2016-11-09,0,85
1555,Fukuoka-ken Fukuoka-shi Momochi,2016-11-10,0,83
1556,Fukuoka-ken Fukuoka-shi Momochi,2016-11-11,0,114
1557,Fukuoka-ken Fukuoka-shi Momochi,2016-11-12,0,146
1558,Fukuoka-ken Fukuoka-shi Momochi,2016-11-13,0,58
1559,Fukuoka-ken Fukuoka-shi Momochi,2016-11-14,0,60
1560,Fukuoka-ken Fukuoka-shi Momochi,2016-11-15,0,108
1561,Fukuoka-ken Fukuoka-shi Momochi,2016-11-16,0,74
1562,Fukuoka-ken Fukuoka-shi Momochi,2016-11-17,0,127
1563,Fukuoka-ken Fukuoka-shi Momochi,2016-11-18,0,124
1564,Fukuoka-ken Fukuoka-shi Momochi,2016-11-19,0,153
1565,Fukuoka-ken Fukuoka-shi Momochi,2016-11-20,0,86
1566,Fukuoka-ken Fukuoka-shi Momochi,2016-11-21,0,49
1567,Fukuoka-ken Fukuoka-shi Momochi,2016-11-22,0,130
1568,Fukuoka-ken Fukuoka-shi Momochi,2016-11-23,1,108
1569,Fukuoka-ken Fukuoka-shi Momochi,2016-11-24,0,68
1570,Fukuoka-ken Fukuoka-shi Momochi,2016-11-25,0,141
1571,Fukuoka-ken Fukuoka-shi Momochi,2016-11-26,0,104
1572,Fukuoka-ken Fukuoka-shi Momochi,2016-11-27,0,74
1573,Fukuoka-ken Fukuoka-shi Momochi,2016-11-28,0,76
1574,Fukuoka-ken Fukuoka-shi Momochi,2016-11-29,0,80
1575,Fukuoka-ken Fukuoka-shi Momochi,2016-11-30,0,85
1576,Fukuoka-ken Fukuoka-shi Momochi,2016-12-01,0,98
1577,Fukuoka-ken Fukuoka-shi Momochi,2016-12-02,0,119
1578,Fukuoka-ken Fukuoka-shi Momochi,2016-12-03,0,119
1579,Fukuoka-ken Fukuoka-shi Momochi,2016-12-04,0,54
1580,Fukuoka-ken Fukuoka-shi Momochi,2016-12-05,0,81
1581,Fukuoka-ken Fukuoka-shi Momochi,2016-12-06,0,109
1582,Fukuoka-ken Fukuoka-shi Momochi,2016-12-07,0,117
1583,Fukuoka-ken Fukuoka-shi Momochi,2016-12-08,0,93
1584,Fukuoka-ken Fukuoka-shi Momochi,2016-12-09,0,112
1585,Fukuoka-ken Fukuoka-shi Momochi,2016-12-10,0,172
1586,Fukuoka-ken Fukuoka-shi Momochi,2016-12-11,0,78
1587,Fukuoka-ken Fukuoka-shi Momochi,2016-12-12,0,72
1588,Fukuoka-ken Fukuoka-shi Momochi,2016-12-13,0,104
1589,Fukuoka-ken Fukuoka-shi Momochi,2016-12-14,0,89
1590,Fukuoka-ken Fukuoka-shi Momochi,2016-12-15,0,90
1591,Fukuoka-ken Fukuoka-shi Momochi,2016-12-16,0,145
1592,Fukuoka-ken Fukuoka-shi Momochi,2016-12-17,0,152
1593,Fukuoka-ken Fukuoka-shi Momochi,2016-12-18,0,94
1594,Fukuoka-ken Fukuoka-shi Momochi,2016-12-19,0,74
1595,Fukuoka-ken Fukuoka-shi Momochi,2016-12-20,0,97
1596,Fukuoka-ken Fukuoka-shi Momochi,2016-12-21,0,106
1597,Fukuoka-ken Fukuoka-shi Momochi,2016-12-22,0,125
1598,Fukuoka-ken Fukuoka-shi Momochi,2016-12-23,1,127
1599,Fukuoka-ken Fukuoka-shi Momochi,2016-12-24,0,131
1600,Fukuoka-ken Fukuoka-shi Momochi,2016-12-25,0,75
1601,Fukuoka-ken Fukuoka-shi Momochi,2016-12-26,0,76
1602,Fukuoka-ken Fukuoka-shi Momochi,2016-12-27,0,127
1603,Fukuoka-ken Fukuoka-shi Momochi,2016-12-28,0,124
1604,Fukuoka-ken Fukuoka-shi Momochi,2016-12-29,1,135
1605,Fukuoka-ken Fukuoka-shi Momochi,2016-12-30,1,130
1606,Fukuoka-ken Fukuoka-shi Momochi,2016-12-31,1,31
1607,Fukuoka-ken Fukuoka-shi Momochi,2017-01-01,1,9
1608,Fukuoka-ken Fukuoka-shi Momochi,2017-01-02,1,15
1609,Fukuoka-ken Fukuoka-shi Momochi,2017-01-03,1,81
1610,Fukuoka-ken Fukuoka-shi Momochi,2017-01-04,0,104
1611,Fukuoka-ken Fukuoka-shi Momochi,2017-01-05,0,55
1612,Fukuoka-ken Fukuoka-shi Momochi,2017-01-06,0,139
1613,Fukuoka-ken Fukuoka-shi Momochi,2017-01-07,0,139
1614,Fukuoka-ken Fukuoka-shi Momochi,2017-01-08,0,95
1615,Fukuoka-ken Fukuoka-shi Momochi,2017-01-09,1,76
1616,Fukuoka-ken Fukuoka-shi Momochi,2017-01-10,0,80
1617,Fukuoka-ken Fukuoka-shi Momochi,2017-01-11,0,66
