,article,ds,holiday_flg,y
3618,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-05,0,11
3619,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-06,0,20
3620,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-08,0,11
3621,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-09,0,10
3622,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-11,0,11
3623,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-12,0,15
3624,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-13,0,20
3625,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-14,0,13
3626,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-15,0,17
3627,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-16,0,13
3628,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-17,0,19
3629,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-18,0,10
3630,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-19,0,15
3631,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-20,1,44
3632,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-21,1,33
3633,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-22,0,20
3634,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-25,0,12
3635,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-26,0,16
3636,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-27,0,22
3637,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-28,0,9
3638,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-29,0,13
3639,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-30,0,11
3640,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-01,0,14
3641,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-02,0,25
3642,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-03,0,36
3643,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-04,0,10
3644,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-06,0,12
3645,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-08,0,4
3646,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-09,0,21
3647,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-10,0,26
3648,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-12,0,11
3649,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-13,0,10
3650,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-15,0,8
3651,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-16,0,17
3652,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-17,0,17
3653,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-18,0,9
3654,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-19,0,11
3655,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-20,0,11
3656,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-22,0,6
3657,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-23,0,14
3658,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-25,0,5
3659,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-26,0,13
3660,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-27,0,11
3661,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-28,0,1
3662,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-29,1,25
3663,Fukuoka-ken Itoshima-shi Maebarunishi,2016-04-30,0,38
3664,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-01,0,38
3665,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-02,0,34
3666,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-03,1,31
3667,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-04,1,56
3668,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-05,1,37
3669,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-06,0,12
3670,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-07,0,15
3671,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-08,0,23
3672,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-10,0,8
3673,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-11,0,9
3674,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-13,0,9
3675,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-14,0,27
3676,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-15,0,18
3677,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-17,0,13
3678,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-18,0,15
3679,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-20,0,7
3680,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-21,0,22
3681,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-22,0,28
3682,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-23,0,6
3683,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-24,0,12
3684,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-25,0,7
3685,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-27,0,5
3686,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-28,0,20
3687,Fukuoka-ken Itoshima-shi Maebarunishi,2016-05-29,0,12
3688,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-01,0,6
3689,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-03,0,10
3690,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-04,0,8
3691,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-05,0,15
3692,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-06,0,6
3693,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-07,0,5
3694,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-08,0,8
3695,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-10,0,10
3696,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-11,0,15
3697,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-12,0,23
3698,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-13,0,8
3699,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-14,0,14
3700,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-15,0,7
3701,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-17,0,7
3702,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-18,0,19
3703,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-19,0,24
3704,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-20,0,7
3705,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-21,0,4
3706,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-24,0,11
3707,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-25,0,16
3708,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-26,0,24
3709,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-27,0,1
3710,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-28,0,9
3711,Fukuoka-ken Itoshima-shi Maebarunishi,2016-06-29,0,6
3712,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-01,0,57
3713,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-02,0,136
3714,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-03,0,186
3715,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-04,0,78
3716,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-05,0,48
3717,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-06,0,101
3718,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-07,0,106
3719,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-08,0,74
3720,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-09,0,145
3721,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-10,0,175
3722,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-11,0,65
3723,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-12,0,45
3724,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-13,0,37
3725,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-14,0,89
3726,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-15,0,86
3727,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-16,0,148
3728,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-17,0,291
3729,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-18,1,245
3730,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-19,0,43
3731,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-20,0,87
3732,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-21,0,79
3733,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-22,0,72
3734,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-23,0,147
3735,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-24,0,221
3736,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-25,0,83
3737,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-26,0,43
3738,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-27,0,80
3739,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-28,0,114
3740,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-29,0,105
3741,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-30,0,174
3742,Fukuoka-ken Itoshima-shi Maebarunishi,2016-07-31,0,225
3743,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-01,0,84
3744,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-02,0,54
3745,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-03,0,87
3746,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-04,0,102
3747,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-05,0,101
3748,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-06,0,142
3749,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-07,0,219
3750,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-08,0,78
3751,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-09,0,55
3752,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-10,0,118
3753,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-11,1,229
3754,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-12,0,122
3755,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-13,1,176
3756,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-14,1,234
3757,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-15,1,181
3758,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-16,0,75
3759,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-17,0,121
3760,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-18,0,110
3761,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-19,0,98
3762,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-20,0,174
3763,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-21,0,211
3764,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-22,0,63
3765,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-23,0,18
3766,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-24,0,93
3767,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-25,0,146
3768,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-26,0,81
3769,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-27,0,190
3770,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-28,0,123
3771,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-29,0,65
3772,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-30,0,65
3773,Fukuoka-ken Itoshima-shi Maebarunishi,2016-08-31,0,58
3774,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-01,0,88
3775,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-02,0,65
3776,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-03,0,116
3777,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-04,0,119
3778,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-05,0,65
3779,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-06,0,44
3780,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-07,0,93
3781,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-08,0,82
3782,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-09,0,101
3783,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-10,0,163
3784,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-11,0,177
3785,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-12,0,47
3786,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-13,0,34
3787,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-14,0,66
3788,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-15,0,74
3789,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-16,0,105
3790,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-17,0,110
3791,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-18,0,118
3792,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-19,1,116
3793,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-20,0,8
3794,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-21,0,99
3795,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-22,1,207
3796,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-23,0,106
3797,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-24,0,182
3798,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-25,0,198
3799,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-26,0,67
3800,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-27,0,45
3801,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-28,0,52
3802,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-29,0,48
3803,Fukuoka-ken Itoshima-shi Maebarunishi,2016-09-30,0,58
3804,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-01,0,121
3805,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-02,0,152
3806,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-03,0,77
3807,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-04,0,31
3808,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-05,0,6
3809,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-06,0,96
3810,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-07,0,60
3811,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-08,0,81
3812,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-09,0,216
3813,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-10,1,241
3814,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-11,0,54
3815,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-12,0,64
3816,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-13,0,65
3817,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-14,0,63
3818,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-15,0,161
3819,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-16,0,137
3820,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-17,0,52
3821,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-18,0,47
3822,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-19,0,70
3823,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-20,0,97
3824,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-21,0,63
3825,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-22,0,77
3826,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-23,0,189
3827,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-24,0,77
3828,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-25,0,88
3829,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-26,0,65
3830,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-27,0,105
3831,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-28,0,79
3832,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-29,0,162
3833,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-30,0,158
3834,Fukuoka-ken Itoshima-shi Maebarunishi,2016-10-31,0,39
3835,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-01,0,52
3836,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-02,0,74
3837,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-03,1,199
3838,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-04,0,32
3839,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-05,0,121
3840,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-06,0,181
3841,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-07,0,63
3842,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-08,0,41
3843,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-09,0,78
3844,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-10,0,55
3845,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-11,0,55
3846,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-12,0,162
3847,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-13,0,84
3848,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-14,0,65
3849,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-15,0,57
3850,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-16,0,91
3851,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-17,0,56
3852,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-18,0,69
3853,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-19,0,96
3854,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-20,0,223
3855,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-21,0,78
3856,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-22,0,56
3857,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-23,1,201
3858,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-24,0,72
3859,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-25,0,66
3860,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-26,0,116
3861,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-27,0,145
3862,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-28,0,83
3863,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-29,0,62
3864,Fukuoka-ken Itoshima-shi Maebarunishi,2016-11-30,0,78
3865,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-01,0,54
3866,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-02,0,69
3867,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-03,0,145
3868,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-04,0,129
3869,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-05,0,47
3870,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-06,0,32
3871,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-07,0,78
3872,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-08,0,69
3873,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-09,0,78
3874,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-10,0,161
3875,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-11,0,205
3876,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-12,0,69
3877,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-13,0,21
3878,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-14,0,45
3879,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-15,0,86
3880,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-16,0,63
3881,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-17,0,131
3882,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-18,0,198
3883,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-19,0,94
3884,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-20,0,24
3885,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-21,0,62
3886,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-22,0,80
3887,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-23,1,139
3888,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-24,0,143
3889,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-25,0,192
3890,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-26,0,45
3891,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-27,0,50
3892,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-28,0,87
3893,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-29,1,123
3894,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-30,1,125
3895,Fukuoka-ken Itoshima-shi Maebarunishi,2016-12-31,1,35
3896,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-02,1,18
3897,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-03,1,24
3898,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-04,0,72
3899,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-05,0,46
3900,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-06,0,73
3901,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-07,0,136
3902,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-08,0,145
3903,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-09,1,123
3904,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-10,0,19
3905,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-11,0,62
3906,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-12,0,46
3907,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-13,0,79
3908,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-14,0,120
3909,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-15,0,170
3910,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-16,0,53
3911,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-17,0,30
3912,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-18,0,69
3913,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-19,0,71
3914,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-20,0,46
3915,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-21,0,163
3916,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-22,0,163
3917,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-23,0,51
3918,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-24,0,28
3919,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-25,0,78
3920,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-26,0,68
3921,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-27,0,92
3922,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-28,0,230
3923,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-29,0,174
