,air_area_name,visitors,current_week
84,Tōkyō-to Shinagawa-ku Higashigotanda,120,31
85,Tōkyō-to Shinagawa-ku Higashigotanda,108,32
86,Tōkyō-to Shinagawa-ku Higashigotanda,93,33
87,Tōkyō-to Shinagawa-ku Higashigotanda,123,34
88,Tōkyō-to Shinagawa-ku Higashigotanda,94,35
89,Tōkyō-to Shinagawa-ku Higashigotanda,127,36
90,Tōkyō-to Shinagawa-ku Higashigotanda,108,37
91,Tōkyō-to Shinagawa-ku Higashigotanda,97,38
92,Tōkyō-to Shinagawa-ku Higashigotanda,107,39
93,Tōkyō-to Shinagawa-ku Higashigotanda,121,40
94,Tōkyō-to Shinagawa-ku Higashigotanda,102,41
95,Tōkyō-to Shinagawa-ku Higashigotanda,72,42
96,Tōkyō-to Shinagawa-ku Higashigotanda,119,43
97,Tōkyō-to Shinagawa-ku Higashigotanda,115,44
98,Tōkyō-to Shinagawa-ku Higashigotanda,99,45
99,Tōkyō-to Shinagawa-ku Higashigotanda,124,46
100,Tōkyō-to Shinagawa-ku Higashigotanda,116,47
101,Tōkyō-to Shinagawa-ku Higashigotanda,109,48
102,Tōkyō-to Shinagawa-ku Higashigotanda,53,49
103,Tōkyō-to Shinagawa-ku Higashigotanda,44,50
104,Tōkyō-to Shinagawa-ku Higashigotanda,77,51
105,Tōkyō-to Shinagawa-ku Higashigotanda,77,52
106,Shizuoka-ken Hamamatsu-shi Motoshirochō,768,0
107,Shizuoka-ken Hamamatsu-shi Motoshirochō,835,1
108,Shizuoka-ken Hamamatsu-shi Motoshirochō,887,2
109,Shizuoka-ken Hamamatsu-shi Motoshirochō,990,3
110,Shizuoka-ken Hamamatsu-shi Motoshirochō,899,4
111,Shizuoka-ken Hamamatsu-shi Motoshirochō,924,5
112,Shizuoka-ken Hamamatsu-shi Motoshirochō,953,6
113,Shizuoka-ken Hamamatsu-shi Motoshirochō,887,7
114,Shizuoka-ken Hamamatsu-shi Motoshirochō,1253,8
115,Shizuoka-ken Hamamatsu-shi Motoshirochō,1144,9
116,Shizuoka-ken Hamamatsu-shi Motoshirochō,1024,10
117,Shizuoka-ken Hamamatsu-shi Motoshirochō,890,11
118,Shizuoka-ken Hamamatsu-shi Motoshirochō,907,12
119,Shizuoka-ken Hamamatsu-shi Motoshirochō,946,13
120,Shizuoka-ken Hamamatsu-shi Motoshirochō,1120,14
121,Shizuoka-ken Hamamatsu-shi Motoshirochō,1183,15
122,Shizuoka-ken Hamamatsu-shi Motoshirochō,898,16
123,Shizuoka-ken Hamamatsu-shi Motoshirochō,879,17
124,Shizuoka-ken Hamamatsu-shi Motoshirochō,892,18
125,Shizuoka-ken Hamamatsu-shi Motoshirochō,815,19
126,Shizuoka-ken Hamamatsu-shi Motoshirochō,905,20
127,Shizuoka-ken Hamamatsu-shi Motoshirochō,854,21
128,Shizuoka-ken Hamamatsu-shi Motoshirochō,927,22
129,Shizuoka-ken Hamamatsu-shi Motoshirochō,1387,23
130,Shizuoka-ken Hamamatsu-shi Motoshirochō,1677,24
131,Shizuoka-ken Hamamatsu-shi Motoshirochō,1741,25
132,Shizuoka-ken Hamamatsu-shi Motoshirochō,1722,26
133,Shizuoka-ken Hamamatsu-shi Motoshirochō,1622,27
134,Shizuoka-ken Hamamatsu-shi Motoshirochō,1607,28
135,Shizuoka-ken Hamamatsu-shi Motoshirochō,2061,29
136,Shizuoka-ken Hamamatsu-shi Motoshirochō,1866,30
137,Shizuoka-ken Hamamatsu-shi Motoshirochō,1611,31
138,Shizuoka-ken Hamamatsu-shi Motoshirochō,1627,32
139,Shizuoka-ken Hamamatsu-shi Motoshirochō,1836,33
140,Shizuoka-ken Hamamatsu-shi Motoshirochō,1899,34
141,Shizuoka-ken Hamamatsu-shi Motoshirochō,1816,35
142,Shizuoka-ken Hamamatsu-shi Motoshirochō,1615,36
143,Shizuoka-ken Hamamatsu-shi Motoshirochō,1687,37
144,Shizuoka-ken Hamamatsu-shi Motoshirochō,1675,38
145,Shizuoka-ken Hamamatsu-shi Motoshirochō,1663,39
146,Shizuoka-ken Hamamatsu-shi Motoshirochō,1489,40
147,Shizuoka-ken Hamamatsu-shi Motoshirochō,1959,41
148,Shizuoka-ken Hamamatsu-shi Motoshirochō,1946,42
149,Shizuoka-ken Hamamatsu-shi Motoshirochō,2086,43
150,Shizuoka-ken Hamamatsu-shi Motoshirochō,2196,44
151,Shizuoka-ken Hamamatsu-shi Motoshirochō,1904,45
152,Shizuoka-ken Hamamatsu-shi Motoshirochō,2163,46
153,Shizuoka-ken Hamamatsu-shi Motoshirochō,2449,47
154,Shizuoka-ken Hamamatsu-shi Motoshirochō,2457,48
155,Shizuoka-ken Hamamatsu-shi Motoshirochō,2358,49
156,Shizuoka-ken Hamamatsu-shi Motoshirochō,2357,50
157,Shizuoka-ken Hamamatsu-shi Motoshirochō,1936,51
158,Shizuoka-ken Hamamatsu-shi Motoshirochō,1843,52
159,Fukuoka-ken Fukuoka-shi Daimyō,2416,0
160,Fukuoka-ken Fukuoka-shi Daimyō,2987,1
161,Fukuoka-ken Fukuoka-shi Daimyō,3238,2
162,Fukuoka-ken Fukuoka-shi Daimyō,3433,3
163,Fukuoka-ken Fukuoka-shi Daimyō,3481,4
164,Fukuoka-ken Fukuoka-shi Daimyō,3749,5
165,Fukuoka-ken Fukuoka-shi Daimyō,3500,6
166,Fukuoka-ken Fukuoka-shi Daimyō,3540,7
167,Fukuoka-ken Fukuoka-shi Daimyō,4017,8
168,Fukuoka-ken Fukuoka-shi Daimyō,4211,9
169,Fukuoka-ken Fukuoka-shi Daimyō,3748,10
170,Fukuoka-ken Fukuoka-shi Daimyō,3569,11
171,Fukuoka-ken Fukuoka-shi Daimyō,3571,12
172,Fukuoka-ken Fukuoka-shi Daimyō,3386,13
173,Fukuoka-ken Fukuoka-shi Daimyō,4015,14
174,Fukuoka-ken Fukuoka-shi Daimyō,4056,15
175,Fukuoka-ken Fukuoka-shi Daimyō,2951,16
176,Fukuoka-ken Fukuoka-shi Daimyō,3369,17
177,Fukuoka-ken Fukuoka-shi Daimyō,3497,18
178,Fukuoka-ken Fukuoka-shi Daimyō,3277,19
179,Fukuoka-ken Fukuoka-shi Daimyō,3600,20
180,Fukuoka-ken Fukuoka-shi Daimyō,3524,21
181,Fukuoka-ken Fukuoka-shi Daimyō,3244,22
182,Fukuoka-ken Fukuoka-shi Daimyō,6335,23
183,Fukuoka-ken Fukuoka-shi Daimyō,8523,24
184,Fukuoka-ken Fukuoka-shi Daimyō,8494,25
185,Fukuoka-ken Fukuoka-shi Daimyō,8592,26
186,Fukuoka-ken Fukuoka-shi Daimyō,8734,27
187,Fukuoka-ken Fukuoka-shi Daimyō,8137,28
188,Fukuoka-ken Fukuoka-shi Daimyō,8346,29
189,Fukuoka-ken Fukuoka-shi Daimyō,8198,30
190,Fukuoka-ken Fukuoka-shi Daimyō,8844,31
191,Fukuoka-ken Fukuoka-shi Daimyō,8619,32
192,Fukuoka-ken Fukuoka-shi Daimyō,9236,33
193,Fukuoka-ken Fukuoka-shi Daimyō,8704,34
194,Fukuoka-ken Fukuoka-shi Daimyō,9005,35
195,Fukuoka-ken Fukuoka-shi Daimyō,8332,36
196,Fukuoka-ken Fukuoka-shi Daimyō,8469,37
197,Fukuoka-ken Fukuoka-shi Daimyō,8593,38
198,Fukuoka-ken Fukuoka-shi Daimyō,8204,39
199,Fukuoka-ken Fukuoka-shi Daimyō,8319,40
200,Fukuoka-ken Fukuoka-shi Daimyō,8740,41
201,Fukuoka-ken Fukuoka-shi Daimyō,7857,42
202,Fukuoka-ken Fukuoka-shi Daimyō,9198,43
203,Fukuoka-ken Fukuoka-shi Daimyō,9100,44
204,Fukuoka-ken Fukuoka-shi Daimyō,8931,45
205,Fukuoka-ken Fukuoka-shi Daimyō,9388,46
206,Fukuoka-ken Fukuoka-shi Daimyō,9653,47
207,Fukuoka-ken Fukuoka-shi Daimyō,10289,48
208,Fukuoka-ken Fukuoka-shi Daimyō,7490,49
209,Fukuoka-ken Fukuoka-shi Daimyō,7034,50
210,Fukuoka-ken Fukuoka-shi Daimyō,7621,51
211,Fukuoka-ken Fukuoka-shi Daimyō,8111,52
212,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,586,0
213,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,567,1
214,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,606,2
215,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,595,3
216,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,562,4
217,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,476,5
218,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,643,6
219,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,540,7
220,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,611,8
221,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,565,9
222,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,517,10
223,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,631,11
224,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,630,12
225,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,632,13
226,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,590,14
227,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,736,15
228,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,611,16
229,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,594,17
230,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,627,18
231,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,563,19
232,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,546,20
233,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,632,21
234,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,595,22
235,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,895,23
236,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1135,24
237,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1173,25
238,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1153,26
239,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,960,27
240,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1027,28
241,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1003,29
242,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,842,30
243,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,869,31
244,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,972,32
245,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1044,33
246,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1185,34
247,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1043,35
248,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1079,36
249,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1161,37
250,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1267,38
251,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1159,39
252,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1108,40
253,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1363,41
254,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1168,42
255,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1151,43
256,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1095,44
257,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1072,45
258,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1136,46
259,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1076,47
260,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,1158,48
261,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,831,49
262,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,580,50
263,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,836,51
264,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,971,52
265,Tōkyō-to Shibuya-ku Shibuya,2958,0
266,Tōkyō-to Shibuya-ku Shibuya,2724,1
267,Tōkyō-to Shibuya-ku Shibuya,2863,2
268,Tōkyō-to Shibuya-ku Shibuya,3192,3
269,Tōkyō-to Shibuya-ku Shibuya,2723,4
270,Tōkyō-to Shibuya-ku Shibuya,3384,5
271,Tōkyō-to Shibuya-ku Shibuya,2905,6
272,Tōkyō-to Shibuya-ku Shibuya,3091,7
273,Tōkyō-to Shibuya-ku Shibuya,3326,8
274,Tōkyō-to Shibuya-ku Shibuya,3295,9
275,Tōkyō-to Shibuya-ku Shibuya,3264,10
276,Tōkyō-to Shibuya-ku Shibuya,3032,11
277,Tōkyō-to Shibuya-ku Shibuya,3067,12
278,Tōkyō-to Shibuya-ku Shibuya,3358,13
279,Tōkyō-to Shibuya-ku Shibuya,3382,14
280,Tōkyō-to Shibuya-ku Shibuya,3064,15
281,Tōkyō-to Shibuya-ku Shibuya,2963,16
282,Tōkyō-to Shibuya-ku Shibuya,3169,17
283,Tōkyō-to Shibuya-ku Shibuya,3153,18
284,Tōkyō-to Shibuya-ku Shibuya,3130,19
285,Tōkyō-to Shibuya-ku Shibuya,3291,20
286,Tōkyō-to Shibuya-ku Shibuya,3259,21
287,Tōkyō-to Shibuya-ku Shibuya,3406,22
288,Tōkyō-to Shibuya-ku Shibuya,5788,23
289,Tōkyō-to Shibuya-ku Shibuya,8144,24
290,Tōkyō-to Shibuya-ku Shibuya,7733,25
291,Tōkyō-to Shibuya-ku Shibuya,7836,26
292,Tōkyō-to Shibuya-ku Shibuya,7876,27
293,Tōkyō-to Shibuya-ku Shibuya,7449,28
294,Tōkyō-to Shibuya-ku Shibuya,7239,29
295,Tōkyō-to Shibuya-ku Shibuya,6298,30
296,Tōkyō-to Shibuya-ku Shibuya,6953,31
297,Tōkyō-to Shibuya-ku Shibuya,7670,32
298,Tōkyō-to Shibuya-ku Shibuya,7798,33
299,Tōkyō-to Shibuya-ku Shibuya,7294,34
300,Tōkyō-to Shibuya-ku Shibuya,6864,35
301,Tōkyō-to Shibuya-ku Shibuya,7697,36
302,Tōkyō-to Shibuya-ku Shibuya,7590,37
303,Tōkyō-to Shibuya-ku Shibuya,7142,38
304,Tōkyō-to Shibuya-ku Shibuya,7459,39
305,Tōkyō-to Shibuya-ku Shibuya,7703,40
306,Tōkyō-to Shibuya-ku Shibuya,7733,41
307,Tōkyō-to Shibuya-ku Shibuya,7412,42
308,Tōkyō-to Shibuya-ku Shibuya,7538,43
309,Tōkyō-to Shibuya-ku Shibuya,7758,44
310,Tōkyō-to Shibuya-ku Shibuya,7612,45
311,Tōkyō-to Shibuya-ku Shibuya,7865,46
312,Tōkyō-to Shibuya-ku Shibuya,8973,47
313,Tōkyō-to Shibuya-ku Shibuya,9211,48
314,Tōkyō-to Shibuya-ku Shibuya,5302,49
315,Tōkyō-to Shibuya-ku Shibuya,4931,50
316,Tōkyō-to Shibuya-ku Shibuya,6834,51
317,Tōkyō-to Shibuya-ku Shibuya,7689,52
318,Tōkyō-to Meguro-ku Kamimeguro,670,0
319,Tōkyō-to Meguro-ku Kamimeguro,796,1
320,Tōkyō-to Meguro-ku Kamimeguro,730,2
321,Tōkyō-to Meguro-ku Kamimeguro,781,3
322,Tōkyō-to Meguro-ku Kamimeguro,461,4
323,Tōkyō-to Meguro-ku Kamimeguro,578,5
324,Tōkyō-to Meguro-ku Kamimeguro,432,6
325,Tōkyō-to Meguro-ku Kamimeguro,487,7
326,Tōkyō-to Meguro-ku Kamimeguro,532,8
327,Tōkyō-to Meguro-ku Kamimeguro,590,9
328,Tōkyō-to Meguro-ku Kamimeguro,723,10
329,Tōkyō-to Meguro-ku Kamimeguro,785,11
330,Tōkyō-to Meguro-ku Kamimeguro,711,12
331,Tōkyō-to Meguro-ku Kamimeguro,862,13
332,Tōkyō-to Meguro-ku Kamimeguro,797,14
333,Tōkyō-to Meguro-ku Kamimeguro,937,15
334,Tōkyō-to Meguro-ku Kamimeguro,709,16
335,Tōkyō-to Meguro-ku Kamimeguro,645,17
336,Tōkyō-to Meguro-ku Kamimeguro,733,18
337,Tōkyō-to Meguro-ku Kamimeguro,595,19
338,Tōkyō-to Meguro-ku Kamimeguro,639,20
339,Tōkyō-to Meguro-ku Kamimeguro,719,21
340,Tōkyō-to Meguro-ku Kamimeguro,713,22
341,Tōkyō-to Meguro-ku Kamimeguro,1868,23
342,Tōkyō-to Meguro-ku Kamimeguro,2494,24
343,Tōkyō-to Meguro-ku Kamimeguro,2787,25
344,Tōkyō-to Meguro-ku Kamimeguro,2600,26
345,Tōkyō-to Meguro-ku Kamimeguro,2542,27
346,Tōkyō-to Meguro-ku Kamimeguro,2240,28
347,Tōkyō-to Meguro-ku Kamimeguro,1927,29
348,Tōkyō-to Meguro-ku Kamimeguro,1983,30
349,Tōkyō-to Meguro-ku Kamimeguro,2030,31
350,Tōkyō-to Meguro-ku Kamimeguro,2127,32
351,Tōkyō-to Meguro-ku Kamimeguro,2289,33
352,Tōkyō-to Meguro-ku Kamimeguro,2453,34
353,Tōkyō-to Meguro-ku Kamimeguro,2198,35
354,Tōkyō-to Meguro-ku Kamimeguro,2385,36
355,Tōkyō-to Meguro-ku Kamimeguro,2591,37
356,Tōkyō-to Meguro-ku Kamimeguro,2347,38
357,Tōkyō-to Meguro-ku Kamimeguro,2377,39
358,Tōkyō-to Meguro-ku Kamimeguro,2495,40
359,Tōkyō-to Meguro-ku Kamimeguro,2176,41
360,Tōkyō-to Meguro-ku Kamimeguro,2240,42
361,Tōkyō-to Meguro-ku Kamimeguro,2406,43
362,Tōkyō-to Meguro-ku Kamimeguro,2456,44
363,Tōkyō-to Meguro-ku Kamimeguro,2543,45
364,Tōkyō-to Meguro-ku Kamimeguro,2682,46
365,Tōkyō-to Meguro-ku Kamimeguro,2785,47
366,Tōkyō-to Meguro-ku Kamimeguro,3180,48
367,Tōkyō-to Meguro-ku Kamimeguro,1915,49
368,Tōkyō-to Meguro-ku Kamimeguro,1916,50
369,Tōkyō-to Meguro-ku Kamimeguro,2509,51
370,Tōkyō-to Meguro-ku Kamimeguro,2548,52
371,Shizuoka-ken Shizuoka-shi Ōtemachi,217,0
372,Shizuoka-ken Shizuoka-shi Ōtemachi,213,1
373,Shizuoka-ken Shizuoka-shi Ōtemachi,166,2
374,Shizuoka-ken Shizuoka-shi Ōtemachi,163,3
375,Shizuoka-ken Shizuoka-shi Ōtemachi,244,4
376,Shizuoka-ken Shizuoka-shi Ōtemachi,273,5
377,Shizuoka-ken Shizuoka-shi Ōtemachi,202,6
378,Shizuoka-ken Shizuoka-shi Ōtemachi,276,7
379,Shizuoka-ken Shizuoka-shi Ōtemachi,337,8
380,Shizuoka-ken Shizuoka-shi Ōtemachi,324,9
381,Shizuoka-ken Shizuoka-shi Ōtemachi,175,10
382,Shizuoka-ken Shizuoka-shi Ōtemachi,188,11
383,Shizuoka-ken Shizuoka-shi Ōtemachi,156,12
384,Shizuoka-ken Shizuoka-shi Ōtemachi,235,13
385,Shizuoka-ken Shizuoka-shi Ōtemachi,254,14
386,Shizuoka-ken Shizuoka-shi Ōtemachi,254,15
387,Shizuoka-ken Shizuoka-shi Ōtemachi,142,16
388,Shizuoka-ken Shizuoka-shi Ōtemachi,180,17
389,Shizuoka-ken Shizuoka-shi Ōtemachi,166,18
390,Shizuoka-ken Shizuoka-shi Ōtemachi,154,19
391,Shizuoka-ken Shizuoka-shi Ōtemachi,145,20
392,Shizuoka-ken Shizuoka-shi Ōtemachi,115,21
393,Shizuoka-ken Shizuoka-shi Ōtemachi,206,22
394,Shizuoka-ken Shizuoka-shi Ōtemachi,333,23
395,Shizuoka-ken Shizuoka-shi Ōtemachi,505,24
396,Shizuoka-ken Shizuoka-shi Ōtemachi,615,25
397,Shizuoka-ken Shizuoka-shi Ōtemachi,509,26
398,Shizuoka-ken Shizuoka-shi Ōtemachi,499,27
399,Shizuoka-ken Shizuoka-shi Ōtemachi,396,28
400,Shizuoka-ken Shizuoka-shi Ōtemachi,708,29
401,Shizuoka-ken Shizuoka-shi Ōtemachi,557,30
402,Shizuoka-ken Shizuoka-shi Ōtemachi,519,31
403,Shizuoka-ken Shizuoka-shi Ōtemachi,560,32
404,Shizuoka-ken Shizuoka-shi Ōtemachi,402,33
405,Shizuoka-ken Shizuoka-shi Ōtemachi,446,34
406,Shizuoka-ken Shizuoka-shi Ōtemachi,451,35
407,Shizuoka-ken Shizuoka-shi Ōtemachi,483,36
408,Shizuoka-ken Shizuoka-shi Ōtemachi,459,37
409,Shizuoka-ken Shizuoka-shi Ōtemachi,537,38
410,Shizuoka-ken Shizuoka-shi Ōtemachi,543,39
411,Shizuoka-ken Shizuoka-shi Ōtemachi,519,40
412,Shizuoka-ken Shizuoka-shi Ōtemachi,488,41
413,Shizuoka-ken Shizuoka-shi Ōtemachi,504,42
414,Shizuoka-ken Shizuoka-shi Ōtemachi,513,43
415,Shizuoka-ken Shizuoka-shi Ōtemachi,549,44
416,Shizuoka-ken Shizuoka-shi Ōtemachi,503,45
417,Shizuoka-ken Shizuoka-shi Ōtemachi,599,46
418,Shizuoka-ken Shizuoka-shi Ōtemachi,709,47
419,Shizuoka-ken Shizuoka-shi Ōtemachi,677,48
420,Shizuoka-ken Shizuoka-shi Ōtemachi,812,49
421,Shizuoka-ken Shizuoka-shi Ōtemachi,530,50
422,Shizuoka-ken Shizuoka-shi Ōtemachi,473,51
423,Shizuoka-ken Shizuoka-shi Ōtemachi,459,52
424,Tōkyō-to Shinjuku-ku Kabukichō,2446,0
425,Tōkyō-to Shinjuku-ku Kabukichō,2609,1
426,Tōkyō-to Shinjuku-ku Kabukichō,2534,2
427,Tōkyō-to Shinjuku-ku Kabukichō,2635,3
428,Tōkyō-to Shinjuku-ku Kabukichō,2483,4
429,Tōkyō-to Shinjuku-ku Kabukichō,2650,5
430,Tōkyō-to Shinjuku-ku Kabukichō,2375,6
431,Tōkyō-to Shinjuku-ku Kabukichō,2297,7
432,Tōkyō-to Shinjuku-ku Kabukichō,2606,8
433,Tōkyō-to Shinjuku-ku Kabukichō,2713,9
434,Tōkyō-to Shinjuku-ku Kabukichō,2813,10
435,Tōkyō-to Shinjuku-ku Kabukichō,2518,11
436,Tōkyō-to Shinjuku-ku Kabukichō,2544,12
437,Tōkyō-to Shinjuku-ku Kabukichō,2794,13
438,Tōkyō-to Shinjuku-ku Kabukichō,2862,14
439,Tōkyō-to Shinjuku-ku Kabukichō,2577,15
440,Tōkyō-to Shinjuku-ku Kabukichō,2536,16
441,Tōkyō-to Shinjuku-ku Kabukichō,2736,17
